# 1c9e766d-96dd-4f5c-aaa2-9c378843848d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0617509; 0.5909807; -1.4764550; -0.0103707; 7.1772729; 2.2855007
0.9987649; 0.9329769; 0.6803768; -1.4854152; -0.0075816; 7.4885647; 2.2886769
1.9975298; 1.9285326; 0.7622180; -1.4918055; -0.0056233; 7.7878304; 2.2754535
2.9962947; 2.9242672; 0.8384100; -1.4968611; -0.0044999; 8.0743785; 2.1832069
3.9950596; 3.9204940; 0.9100640; -1.5010205; -0.0038415; 8.3400605; 2.1749598
4.9938245; 4.9169344; 0.9778892; -1.5045496; -0.0032600; 8.5965782; 2.1516948
5.9925894; 5.9135864; 1.0424659; -1.5075521; -0.0027524; 8.8430329; 2.0713541
6.9913543; 6.9104185; 1.1042896; -1.5100901; -0.0023345; 9.0739640; 2.0579277
7.9901192; 7.9073840; 1.1637877; -1.5122207; -0.0019464; 9.2977198; 2.0300501
8.9888841; 8.9045177; 1.2213490; -1.5139872; -0.0015908; 9.5132896; 1.9602800
9.9876490; 9.9016355; 1.2773181; -1.5154044; -0.0012484; 9.7169129; 1.9448164
10.9864139; 10.8988860; 1.3320474; -1.5164824; -0.0009148; 9.9147983; 1.9149893
11.9851788; 11.8962667; 1.3858691; -1.5172351; -0.0005925; 10.1058634; 1.8574712
12.9839438; 12.8934810; 1.4391251; -1.5175486; -0.0000084; 10.2878000; 0.4321755
13.9827087; 13.8908418; 1.4923868; -1.5172005; 0.0008687; 10.3296714; -1.8827118
14.9814736; 14.8882194; 1.5465444; -1.5156820; 0.0021709; 10.1460011; -4.7565501
15.9802385; 15.8852507; 1.6028565; -1.5128470; 0.0035120; 9.6664362; -4.9482973
16.9790034; 16.8822407; 1.6626729; -1.5086841; 0.0047635; 9.1408761; -4.6668104
17.9777683; 17.8789858; 1.7272223; -1.5033906; 0.0058337; 8.6158879; -4.4056549
18.9765332; 18.8751338; 1.7976765; -1.4966221; 0.0078956; 8.0890727; -4.1293033
19.9752981; 19.8707599; 1.8760103; -1.4873954; 0.0115270; 7.5620560; -3.8482617
20.9740630; 20.8654252; 1.9660448; -1.4725477; 0.0181739; 7.0354583; -3.4632970
21.9728279; 21.8582083; 2.0750133; -1.4476166; 0.0337757; 6.5253072; -3.1061507
22.9715928; 22.8458449; 2.2172626; -1.4051607; 0.0488736; 6.0311695; -2.6708727
23.9703577; 23.8254620; 2.4063911; -1.3544130; 0.0523827; 5.5713425; -2.4068264
24.9691226; 24.7938464; 2.6475134; -1.2960797; 0.0689405; 5.1217331; -2.1226154
25.9678875; 25.7510501; 2.9578011; -1.2143586; 0.0944512; 4.6895802; -1.5873706
26.9666524; 26.6773439; 3.3622663; -1.0939364; 0.1544715; 4.3383571; -1.4058642
27.9654173; 27.5216568; 3.9055408; -0.8919162; 0.2280176; 4.0016355; -0.8180855
28.9641822; 28.2057182; 4.5984267; -0.6661076; 0.2308525; 3.7919569; 0.2997624
29.9629471; 28.7284794; 5.4381519; -0.4547641; 0.2031490; 3.8701061; 1.3679480
30.9617120; 29.0581153; 6.3700737; -0.2168998; 0.2534112; 4.2083533; 1.3482273
31.9604769; 29.1658921; 7.3493175; -0.0265063; 0.1261330; 4.5170081; 1.4136372
32.9592418; 29.1411108; 8.3770693; 0.0628539; 0.0553450; 4.8194548; 1.5148231
33.9580067; 29.0589403; 9.3773907; 0.0924480; 0.0033551; 5.1237729; 1.8188165
34.9567716; 28.9701300; 10.3734890; 0.0874670; 0.0098330; 5.4668262; 2.0648719
35.9555365; 28.8717749; 11.3563425; 0.1188449; 0.0472851; 5.8318807; 2.2281054
36.9543014; 28.7302537; 12.3443621; 0.1656330; 0.0469112; 6.2017368; 2.1044328
37.9530663; 28.5421433; 13.3277325; 0.2117339; 0.0435202; 6.5318609; 1.8753940
38.9518313; 28.3121144; 14.2990292; 0.2526299; 0.0408923; 6.8125885; 0.7270391
39.9505962; 28.0407397; 15.2592477; 0.3005559; 0.0547914; 6.9183556; 0.0255393
40.9493611; 27.7190055; 16.2006360; 0.3586807; 0.0591066; 6.9220416; -0.4141460
41.9481260; 27.3402890; 17.1269956; 0.4170961; 0.0538976; 6.8620253; -0.6483008
42.9468909; 26.9209749; 18.0243040; 0.4507337; 0.0148453; 6.7670075; -0.6336485
43.9456558; 26.4693355; 18.9499852; 0.4574453; 0.0161705; 6.6728299; -0.6194501
44.9444207; 26.0200405; 19.8282370; 0.4982287; 0.0798180; 6.5794596; -0.5877770
45.9431856; 25.4789508; 20.6843539; 0.6561762; 0.2336545; 6.4896214; -0.4925148
46.9419505; 24.8298485; 21.3552469; 0.8727943; 0.1821457; 6.4133746; -0.2282053
47.9407154; 24.0158762; 21.9514499; 0.9826365; 0.0554837; 6.3777368; 0.0044115
48.9394803; 23.1518780; 22.5019617; 1.0187087; 0.0211431; 6.3784276; 0.6723841
49.9382452; 22.2768188; 23.0269492; 1.0448140; 0.0343008; 6.4828579; 1.2160302
50.9370101; 21.4112837; 23.5064798; 1.0864383; 0.0396833; 6.6675710; 2.2348266
51.9357750; 20.5257254; 23.9560189; 1.1101201; 0.0061412; 6.9943288; 0.9072509
52.9345399; 19.6329003; 24.4024879; 1.0980655; -0.0302927; 7.1227029; -0.8000008
53.9333048; 18.7615162; 24.8709922; 1.0523208; -0.0578327; 7.0096270; -2.2072816
54.9320697; 17.9073986; 25.3944059; 0.9879004; -0.0683818; 6.6877320; -1.7751291
55.9308346; 17.0977876; 25.9691279; 0.9184940; -0.0717139; 6.4171556; -1.5750527
56.9295995; 16.3232249; 26.6070166; 0.8447060; -0.0752598; 6.1671445; -1.3876969
57.9283644; 15.5993018; 27.3021313; 0.7651369; -0.0837811; 5.9381567; -0.6071076
58.9271293; 14.9345761; 28.0556563; 0.6800535; -0.0870769; 5.8351512; -0.5532577
59.9258942; 14.3384252; 28.8654930; 0.5874156; -0.0970041; 5.7396726; -0.4868711
60.9246591; 13.8334130; 29.7130563; 0.4846898; -0.1122321; 5.6543171; -0.2733839
61.9234240; 13.4184326; 30.6230186; 0.3714688; -0.1095740; 5.6058192; 0.2315378
62.9221889; 13.1080401; 31.5617393; 0.2685516; -0.0995716; 5.6469207; 0.4529940
63.9209538; 12.8897641; 32.5314812; 0.1759705; -0.0900331; 5.7264808; 0.5583616
64.9197188; 12.7584941; 33.5289183; 0.0859680; -0.0878892; 5.8230513; 0.9970713
65.9184837; 12.7141859; 34.5207732; 0.0053950; -0.0752983; 5.9916280; 1.2574750
